Product_Category,Supplier_Region,Shipping_Mode,Warehouse_Type,Order_Quantity,Distance_km,Supplier_Lead_Time_days,Transportation_Cost,Inventory_Level,Demand_Forecast,Supplier_Reliability_Score,Historical_Delay_Rate,Delivery_Time_days,Delivery_Status
Automotive Parts,Europe,Sea,Hybrid,414.0,7212.6,16.0,3461.43,879.0,589.0,87.5,0.114,43.4,Delayed
Perishable Food,Europe,Air,Cross-Dock,1786.0,3226.7,7.0,51125.28,2594.0,2511.0,93.2,0.097,8.9,Early
Automotive Parts,East Asia,Rail,Automated,320.0,10997.2,19.0,7934.74,399.0,366.0,87.9,0.053,58.1,Severely Delayed
Furniture,East Asia,Sea,Automated,90.0,9143.3,23.0,1168.56,116.0,99.0,91.4,0.055,63.1,Delayed
Electronics,South Asia,Sea,Hybrid,130.0,5720.1,24.0,1059.25,175.0,136.0,62.4,0.313,50.8,Delayed
Industrial Equipment,East Asia,Sea,Manual,89.0,8871.0,25.0,1178.85,71.0,86.0,84.0,0.098,71.3,Severely Delayed
Automotive Parts,South Asia,Sea,Hybrid,213.0,6239.6,22.0,1965.62,180.0,161.0,78.5,0.129,48.2,Delayed
Automotive Parts,Latin America,Road,Hybrid,584.0,6859.4,16.0,12242.01,580.0,524.0,68.3,0.218,44.1,Delayed
Electronics,East Asia,Sea,Hybrid,283.0,6185.0,21.0,2221.03,251.0,289.0,81.6,0.125,46.3,Delayed
Perishable Food,South Asia,Air,Automated,815.0,8146.7,10.0,56339.91,693.0,771.0,81.8,0.114,15.2,Early
Apparel,Europe,Road,Manual,120.0,5845.4,6.0,2456.16,50.0,99.0,86.6,0.101,25.5,On Time
Industrial Equipment,North America,Sea,Cross-Dock,137.0,3253.4,11.0,801.02,197.0,167.0,97.6,0.01,28.8,On Time
Furniture,East Asia,Air,Manual,195.0,10944.6,10.0,17526.65,191.0,166.0,81.5,0.089,24.1,On Time
Automotive Parts,East Asia,Sea,Manual,208.0,9595.5,23.0,2513.06,82.0,231.0,84.5,0.077,65.6,Severely Delayed
